Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
108,4017,4018,99.344174344,99.363,2.0331708480004522,0.00018949934532463963,2013-07-15 08:00:00,2013-07-15 09:00:00,,0 days 01:00:00
-108,4051,4065,99.23482576500001,99.395,-17.29881737999841,-0.0016140929735624088,2013-07-16 18:00:00,2013-07-17 08:00:00,,0 days 14:00:00
107,4073,4083,99.83317483299999,99.578,-27.303707130998276,-0.002556012401957908,2013-07-17 16:00:00,2013-07-18 02:00:00,,0 days 10:00:00
107,4088,4114,100.103,100.004,-10.59299999999888,-0.0009889813492102162,2013-07-18 07:00:00,2013-07-19 09:00:00,,1 days 02:00:00
-107,4130,4131,99.80582519400001,99.928,-13.072704241998892,-0.001224125002348364,2013-07-22 02:00:00,2013-07-22 03:00:00,,0 days 01:00:00
-107,4142,4167,99.864825135,100.047,-19.492710554999277,-0.0018242145295275236,2013-07-22 14:00:00,2013-07-23 15:00:00,,1 days 01:00:00
106,4190,4209,100.169175169,99.83,-35.95256791400007,-0.0033860233792257777,2013-07-24 14:00:00,2013-07-25 09:00:00,,0 days 19:00:00
-106,4214,4278,99.723,98.309,149.88400000000016,0.014179276596171464,2013-07-25 14:00:00,2013-07-30 06:00:00,,4 days 16:00:00
-110,4306,4307,97.757827242,97.704,5.920996620001233,0.0005506182319985342,2013-07-31 10:00:00,2013-07-31 11:00:00,,0 days 01:00:00
109,4332,4363,98.788173788,98.949,17.530057108000378,0.0016279905360447877,2013-08-01 12:00:00,2013-08-02 19:00:00,,1 days 07:00:00
-109,4369,4404,98.815826184,98.155,72.03005405600013,0.006687452906273483,2013-08-05 02:00:00,2013-08-06 13:00:00,,1 days 11:00:00
-111,4407,4464,98.01582698400001,96.685,147.72179522400137,0.013577674391476169,2013-08-06 16:00:00,2013-08-09 01:00:00,,2 days 09:00:00
-114,4484,4495,96.174828825,96.514,-38.665513949998854,-0.003526610643800998,2013-08-09 21:00:00,2013-08-12 09:00:00,,2 days 12:00:00
113,4500,4508,96.858171858,96.794,-7.251419954000994,-0.0006625342680851576,2013-08-12 14:00:00,2013-08-12 22:00:00,,0 days 08:00:00
113,4510,4512,97.098,97.192,10.621999999999332,0.0009680940905063551,2013-08-13 00:00:00,2013-08-13 02:00:00,,0 days 02:00:00
113,4513,4555,97.337,98.136,90.28699999999914,0.008208594881699671,2013-08-13 03:00:00,2013-08-14 21:00:00,,1 days 18:00:00
-113,4577,4578,97.583827416,97.483,11.393498008000151,0.0010332389973819467,2013-08-15 19:00:00,2013-08-15 20:00:00,,0 days 01:00:00
-114,4582,4603,97.263,97.576,-35.68199999999865,-0.0032180788172273544,2013-08-16 00:00:00,2013-08-16 21:00:00,,0 days 21:00:00
-113,4636,4637,97.471827528,97.252,24.840510664001172,0.0022552929761869844,2013-08-20 07:00:00,2013-08-20 08:00:00,,0 days 01:00:00
-114,4645,4658,96.978828021,97.207,-26.011605605999478,-0.0023528019842700143,2013-08-20 16:00:00,2013-08-21 05:00:00,,0 days 13:00:00
113,4668,4722,97.661172661,98.666,113.54548930700022,0.010288913307317626,2013-08-21 15:00:00,2013-08-23 21:00:00,,2 days 06:00:00
-113,4738,4747,98.453826546,98.498,-4.9916003020003075,-0.0004486717840201937,2013-08-26 14:00:00,2013-08-26 23:00:00,,0 days 09:00:00
-113,4755,4785,98.04282695700002,97.379,75.01244614100135,0.006770785559775394,2013-08-27 07:00:00,2013-08-28 13:00:00,,1 days 06:00:00
115,4798,4805,97.77317277299998,98.157,44.14013110500136,0.003925690617518907,2013-08-29 02:00:00,2013-08-29 09:00:00,,0 days 07:00:00
115,4806,4832,98.144,98.131,-1.4950000000006014,-0.000132458428431792,2013-08-29 10:00:00,2013-08-30 12:00:00,,1 days 02:00:00
114,4850,4890,98.61517361499999,99.561,107.82420789000204,0.009591083707793047,2013-09-02 07:00:00,2013-09-03 23:00:00,,1 days 16:00:00
114,4910,4911,99.8001748,99.74,-6.859927199999845,-0.0006029528517418337,2013-09-04 19:00:00,2013-09-04 20:00:00,,0 days 01:00:00
114,4921,4946,99.82317482299999,99.834,1.2340701780017298,0.00010844352545591462,2013-09-05 06:00:00,2013-09-06 07:00:00,,1 days 01:00:00
